30.0;1907.0;
31.0;1773.0;
32.0;1672.0;
33.0;1600.0;
34.0;1496.0;
35.0;1458.0;
36.0;1413.0;
37.0;1375.0;
38.0;1354.0;
39.0;1285.0;
40.0;1262.0;
41.0;1243.0;
42.0;1212.0;
43.0;1170.0;
44.0;1153.0;
46.0;1116.0;
47.0;1107.0;
48.0;1100.0;
49.0;1070.0;
50.0;1033.0;
54.0;1026.0;
55.0;1018.0;
56.0;1004.0;
57.0;995.0;
58.0;970.0;
59.0;963.0;
60.0;954.0;
61.0;943.0;
62.0;938.0;
63.0;914.0;
66.0;900.0;
67.0;877.0;
68.0;871.0;
70.0;866.0;
72.0;864.0;
73.0;856.0;
74.0;846.0;
78.0;839.0;
80.0;837.0;
81.0;835.0;
82.0;828.0;
87.0;824.0;
90.0;819.0;
91.0;808.0;
92.0;802.0;
94.0;796.0;
97.0;783.0;
98.0;773.0;
