16 1924
17 1838
18 1800
19 1648
20 1564
21 1513
22 1401
23 1317
24 1311
25 1287
26 1269
27 1177
28 1167
29 1157
30 1143
31 1111
32 1106
33 1056
35 1051
36 1040
38 1035
40 1030
41 1018
43 993
44 992
45 987
46 968
47 945
49 934
50 926
51 912
55 902
56 897
57 877
60 868
64 859
67 849
68 845
69 840
70 827
71 807
74 805
75 792
79 782
80 777
81 762
91 757
92 752
93 747
94 740
95 734
99 719
103 709
104 704
105 698
115 693
116 690
117 685
118 680
119 675
123 668
127 663
129 658
139 653
142 650
143 643
147 638
151 633
153 628
163 623
166 618
167 613
171 608
175 603
177 598
190 596
191 594
201 592
215 589
225 587
239 584
249 583
262 582
263 579
273 578
286 577
287 574
297 573
